"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT08","WT09"
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-17","6.49"," 1132","0.00",,"67","38","  330","  280","17.0","23.9",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-18","9.84"," 1020","0.00",,"63","35","  100","  140","17.0","23.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-19","8.50"," 1351","0.11",,"73","48","   70","  270","18.1","21.9",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-20","7.61"," 0641","0.79",,"58","47","  140","  130","17.0","23.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-21","14.76"," 1309","0.00",,"52","41","  290","  280","23.9","32.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-22","6.93"," 1046","0.00",,"60","38","   50","   50","17.0","23.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-23","3.58"," 1735","0.00",,"69","34","  170","  170","14.1","18.1",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-24","9.17"," 2209","0.00",,"70","40","  110","  110","19.9","25.9",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-25","10.07"," 1310","0.00",,"70","49","  110","  130","16.1","21.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-26","11.18"," 1515","0.17",,"78","52","  160","  170","23.9","33.1",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-27","14.54"," 1436","0.03",,"70","49","  250","  240","25.1","36.9",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-28","10.51"," 0206","0.00",,"64","45","  250","  250","23.0","31.1",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-29","9.17"," 2242","0.00",,"55","41","   50","   60","18.1","25.1",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-30","8.50"," 0042","0.59",,"53","41","   60","   60","17.0","23.9",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-01","11.18"," 1809","0.14",,"67","49","  240","  240","25.9","36.9",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-02","15.66"," 1458","0.05",,"49","41","  270","  270","29.1","38.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-03","5.82"," 0011","0.00",,"59","36","  300","  300","15.0","19.9",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-04","9.40"," 1455","0.62",,"48","42","   20","   40","17.0","23.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-05","15.21"," 1008","0.16",,"46","41","   20","   10","28.0","38.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-06","13.65"," 1346","0.00",,"58","41","  330","  350","25.1","33.1",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-07","12.30"," 1637","0.00",,"55","36","  300","  280","23.0","30.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-08","9.40"," 1427","0.00",,"56","32","  270","  300","19.9","25.9",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-09","4.92"," 1722","0.00",,"62","29","  110","  110","18.1","21.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-10","6.71"," 1846","0.00",,"64","40","   90","  110","14.1","18.1",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-11","8.95"," 1251","0.10",,"65","46","   20","   10","17.0","21.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-12","4.92"," 1132","0.00",,"66","41","   30","   60","15.0","21.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-13","4.92"," 1938","0.00",,"71","42","  110","  110","15.0","19.0","    1",,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-14","8.28"," 1523","0.00",,"66","45","  320","  320","21.0","28.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-15","3.36"," 2341","0.00",,"72","39","  140","  150","13.0","16.1",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-16","8.50"," 1657","0.26",,"85","51","  210","  200","19.9","27.1","    1",,"    1",,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-17","12.53"," 1201","0.00",,"86","67","  220","  200","25.9","36.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-18","16.78"," 1500","0.00",,"87","55","  270","  240","32.0","42.9",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-19","11.86"," 0135","0.00",,"55","44","  320","  330","19.9","23.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-20","12.08"," 0909","0.13",,"64","47","  120","  100","21.0","25.9","    1",,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-21","8.50"," 0134","1.36",,"74","53","  300","  270","23.0","32.0","    1",,"    1",,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-22","12.30"," 1417","0.00",,"69","50","  280","  230","23.9","33.1",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-23","5.59"," 2003","0.01",,"71","56","   20","   20","13.0","16.1",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-24","9.62"," 2143","0.14",,"68","54","   70","   70","18.1","23.9","    1",,,,,"    1",
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-25","9.62"," 1817","0.05",,"61","55","  330","  330","16.1","21.9","    1",,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-26","6.26"," 0022","0.01",,"67","53","  310","  320","15.0","18.1","    1",,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-27","2.46"," 1939","0.00",,"75","53","  130","  130","12.1","15.0","    1",,,,,"    1",
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-28","5.82"," 1756","1.39",,"77","55","  360","  360","17.0","21.0","    1",,"    1",,,"    1",
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-29","8.95"," 1551","0.00",,"78","55","  240","  250","25.1","33.1",,,"    1",,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-30","10.51"," 1734","0.00",,"72","51","  270","  270","29.1","34.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-05-31","10.96"," 1351","0.00",,"71","50","  270","  270","25.9","33.1",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-06-01","8.05"," 1636","0.00",,"73","49","  270","  280","21.0","25.9",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-06-02","7.16"," 1447","0.00",,"80","48","  290","  290","19.9","27.1",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-06-03","4.47"," 1124","0.01",,"79","49","  130","  130","13.0","16.1",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-06-04","8.72"," 1541","0.04",,"85","62","  280","  280","23.0","27.1",,,"    1",,,"    1",
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-06-05","10.29"," 1636","0.01",,"67","53","  340","  330","21.9","28.0","    1",,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-06-06","12.53"," 1446","0.00",,"68","51","  360","  360","23.9","32.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-06-07","9.17"," 1240","0.00",,"75","50","   80","   70","21.0","25.9",,,,,,"    1",
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-06-08","2.91"," 2318","0.00",,"77","49","  290","  290","15.0","17.0","    1",,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-06-09","3.58"," 1510","0.15",,"77","53","  240","  210","16.1","21.0","    1",,"    1",,,"    1",
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-06-10","9.40"," 1749","0.00",,"87","57","  220","  230","23.9","33.1","    1",,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-06-11","9.62"," 1629","0.00",,"89","68","  240","  230","19.9","25.1",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-06-12","9.17"," 1343","0.00",,"91","70","  220","  240","21.9","28.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-06-13","5.82"," 1627","0.00",,"86","70","  350","   50","15.0","21.0","    1",,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-06-14","8.05"," 1658","0.25",,"82","67","  130","  130","16.1","21.0","    1",,"    1",,,"    1",
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-06-15","6.26"," 1858","0.25",,"85","66","  260","  290","16.1","29.1","    1",,"    1",,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-06-16","6.26"," 1151",,,"84","63","  270","  270","18.1","23.0","    1",,,,,,
